ROC TRACON FLOW           N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
- RWY 4                   N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N042.35.29.945 W078.09.30.143 N042.34.10.561 W078.13.08.712
                          N042.58.44.811 W078.08.27.747 N042.58.14.560 W078.08.17.200
                          N043.02.30.710 W078.09.44.915 N042.59.18.353 W078.08.39.221
                          N043.03.32.522 W078.10.06.071 N043.03.03.919 W078.09.56.407
                          N043.05.40.093 W078.10.49.801 N043.04.06.717 W078.10.18.028
                          N042.57.37.731 W078.08.04.811 N042.56.40.177 W078.07.45.143
                          N042.48.23.760 W078.08.26.098 N042.45.12.038 W078.08.42.054
                          N042.49.32.936 W078.08.20.367 N042.49.01.640 W078.08.23.260
                          N042.53.25.173 W078.08.01.101 N042.50.07.527 W078.08.17.501
                          N042.54.29.078 W078.07.56.211 N042.53.59.431 W078.07.58.673
                          N042.39.40.637 W078.09.09.382 N042.39.09.341 W078.09.12.259
                          N042.43.32.882 W078.08.50.217 N042.40.15.227 W078.09.06.531
                          N042.44.36.790 W078.08.44.907 N042.44.07.140 W078.08.47.358
                          N042.56.40.185 W078.07.45.101 N042.55.04.328 W078.07.52.893
                          N042.38.31.460 W078.09.15.083 N042.35.29.944 W078.09.30.109
                          N042.29.36.386 W077.57.55.842 N042.31.25.425 W078.01.29.616
                          N042.28.57.068 W077.56.38.684 N042.29.14.764 W077.57.13.468
                          N042.26.44.911 W077.52.20.203 N042.28.37.400 W077.56.00.337
                          N042.34.33.768 W078.07.39.639 N042.34.51.408 W078.08.14.529
                          N042.32.21.701 W078.03.19.932 N042.34.14.165 W078.07.01.179
                          N042.31.45.387 W078.02.08.913 N042.32.02.402 W078.02.41.963
                          N042.35.12.965 W078.08.56.585 N042.35.29.945 W078.09.30.143
                          N042.28.06.807 W077.50.01.255 N042.28.25.296 W077.49.30.167
                          N042.26.44.911 W077.52.20.203 N042.27.45.018 W077.50.38.555
                          N042.28.46.750 W077.48.54.187 N042.30.34.963 W077.45.50.179
                          N042.31.04.384 W077.42.57.065 N042.31.09.204 W077.42.29.836
                          N042.30.34.963 W077.45.50.179 N042.30.56.459 W077.43.43.351
                          N042.22.43.789 W077.44.30.374 N042.24.33.246 W077.48.03.362
                          N042.22.04.315 W077.43.13.499 N042.22.22.079 W077.43.48.154
                          N042.19.51.322 W077.38.55.969 N042.21.44.573 W077.42.35.295
                          N042.19.15.082 W077.37.45.425 N042.19.31.884 W077.38.18.253
                          N042.24.53.286 W077.48.42.514 N042.25.10.367 W077.49.15.442
                          N042.17.59.927 W077.35.19.968 N042.18.54.979 W077.37.06.390
                          N042.25.29.739 W077.49.53.717 N042.26.44.911 W077.52.20.203
                          N042.23.00.760 W077.28.29.170 N042.23.22.773 W077.27.59.339
                          N042.20.17.078 W077.32.12.934 N042.22.36.446 W077.29.02.555
                          N042.19.32.360 W077.33.14.267 N042.19.53.074 W077.32.45.825
                          N042.17.59.927 W077.35.19.968 N042.19.07.364 W077.33.48.033
                          N042.38.41.714 W077.07.06.523 N042.36.26.557 W077.10.11.830
                          N042.39.30.129 W077.06.00.066 N042.39.08.214 W077.06.30.154
                          N042.31.44.191 W077.16.37.424 N042.29.28.777 W077.19.42.041
                          N042.32.33.025 W077.15.30.766 N042.32.11.071 W077.16.01.188
                          N042.35.16.821 W077.11.47.311 N042.32.57.276 W077.14.57.650
                          N042.36.01.679 W077.10.45.905 N042.35.41.052 W077.11.14.145
                          N042.25.34.798 W077.24.59.788 N042.25.12.801 W077.25.29.654
                          N042.28.18.903 W077.21.16.720 N042.25.59.424 W077.24.26.793
                          N042.29.04.177 W077.20.15.541 N042.28.43.183 W077.20.44.124
                          N042.24.46.203 W077.26.06.196 N042.23.38.211 W077.27.37.966
                          N042.39.15.064 W077.03.05.763 N042.39.18.913 W077.03.48.109
                          N042.38.47.898 W076.57.52.432 N042.39.11.190 W077.02.19.404
                          N042.38.40.448 W076.56.26.871 N042.38.43.993 W076.57.06.530
                          N042.38.25.125 W076.53.29.971 N042.38.36.519 W076.55.39.187
                          N042.39.23.132 W077.04.38.929 N042.39.30.143 W077.06.00.063
                          N042.37.27.692 W076.50.50.150 N042.37.14.586 W076.50.13.759
                          N042.38.25.125 W076.53.29.971 N042.37.43.146 W076.51.32.759
                          N042.36.59.791 W076.49.32.043 N042.36.30.282 W076.48.09.965
                          N042.37.41.505 W076.47.06.987 N042.37.15.339 W076.47.30.100
                          N042.40.56.743 W076.44.14.601 N042.38.10.619 W076.46.41.597
                          N042.41.50.035 W076.43.27.370 N042.41.25.188 W076.43.49.620
                          N042.43.40.200 W076.41.50.107 N042.42.19.788 W076.43.01.466
                          N042.36.43.609 W076.47.58.188 N042.36.30.201 W076.48.09.976
                          N042.45.20.131 W076.41.28.434 N042.44.50.872 W076.41.34.702
                          N042.47.29.969 W076.41.00.008 N042.45.54.973 W076.41.20.735
                          N042.44.17.015 W076.41.41.936 N042.43.40.187 W076.41.49.999
                          N042.48.13.376 W076.43.28.697 N042.48.01.853 W076.42.49.516
                          N042.49.38.685 W076.48.23.130 N042.48.25.921 W076.44.12.783
                          N042.50.02.006 W076.49.43.795 N042.49.51.191 W076.49.06.357
                          N042.50.49.951 W076.52.30.080 N042.50.14.844 W076.50.28.369
                          N043.17.07.841 W076.53.50.732 N043.13.55.471 W076.53.40.528
                          N043.18.16.681 W076.53.53.930 N043.17.45.392 W076.53.52.517
                          N043.12.11.712 W076.53.35.526 N043.08.59.669 W076.53.25.794
                          N043.13.20.884 W076.53.39.158 N043.12.49.592 W076.53.37.300
                          N043.02.18.773 W076.53.05.243 N042.59.06.725 W076.52.55.563
                          N043.03.27.952 W076.53.08.857 N043.02.56.653 W076.53.07.009
                          N043.07.20.514 W076.53.20.746 N043.04.02.536 W076.53.10.215
                          N043.08.24.422 W076.53.23.989 N043.07.54.772 W076.53.22.115
                          N042.53.34.997 W076.52.38.717 N042.53.03.700 W076.52.36.877
                          N042.57.27.570 W076.52.50.544 N042.54.09.583 W076.52.40.068
                          N042.58.31.475 W076.52.53.768 N042.58.01.825 W076.52.51.902
                          N042.52.25.816 W076.52.35.121 N042.50.49.951 W076.52.30.080
                          N043.20.14.937 W076.54.00.035 N043.18.51.267 W076.53.55.752
                          N043.20.39.735 W076.51.03.403 N043.20.45.050 W076.50.23.629
                          N043.20.14.934 W076.54.00.120 N043.20.33.154 W076.51.50.863
                          N043.20.51.630 W076.49.37.518 N043.21.16.103 W076.46.41.657
                          N043.21.47.380 W076.46.43.448 N043.21.16.103 W076.46.41.657
                          N043.22.46.739 W076.46.46.850 N043.22.16.201 W076.46.45.101
                          N043.26.02.893 W076.46.56.009 N043.23.11.838 W076.46.47.942
                          N042.36.30.201 W076.48.09.976 N042.35.03.051 W076.49.26.556
                          N042.47.47.946 W076.42.01.435 N042.47.29.969 W076.41.00.008
                          N042.47.29.969 W076.41.00.008 N042.46.08.522 W076.38.10.161
                          N042.22.58.297 W077.35.48.475 N042.23.44.685 W077.34.44.006
                          N042.30.13.158 W077.25.44.070 N042.30.59.452 W077.24.39.349
                          N042.52.49.735 W078.10.06.207 N042.52.24.388 W078.06.04.234
                          N042.44.15.207 W078.10.41.337 N042.45.06.574 W078.06.47.620
                          N042.41.35.148 W078.10.44.476 N042.39.52.932 W078.07.23.728
                          N043.16.50.503 W076.55.49.033 N043.16.11.360 W076.51.48.871
                          N042.31.52.667 W077.50.31.698 N042.30.48.086 W077.50.54.662
                          N042.28.12.560 W077.51.50.693 N042.25.18.571 W077.52.53.251
                          N042.31.39.416 W077.51.20.190 N042.31.01.332 W077.50.06.179
                          N042.23.40.452 W077.35.52.872 N042.23.02.201 W077.34.39.177
                          N042.22.00.841 W077.32.41.142 N042.20.17.840 W077.29.22.488
                          N042.26.20.986 W077.21.07.083 N042.28.47.563 W077.23.27.817
                          N042.30.09.412 W077.24.45.782 N042.31.03.531 W077.25.38.092
                          N042.37.35.316 W077.15.26.557 N042.38.21.511 W077.14.21.579
                          N042.38.14.858 W077.15.33.432 N042.37.42.297 W077.14.15.158
                          N042.36.53.775 W077.12.20.910 N042.35.25.270 W077.08.49.423
                          N042.31.59.900 W077.00.42.230 N042.31.26.844 W076.59.24.221
                          N042.31.09.958 W077.00.04.915 N042.32.16.458 W077.00.01.533
                          N042.51.20.983 W076.54.18.449 N042.52.54.384 W076.50.49.527
                          N042.49.01.337 W076.50.18.612 N042.48.55.542 W076.46.14.457
                          N042.49.30.396 W076.59.43.709 N042.48.56.347 W076.58.26.246
                          N042.43.19.750 W076.45.46.701 N042.41.47.153 W076.42.18.213
                          N042.37.27.234 W076.59.44.378 N042.40.26.980 W076.59.34.406
                          N042.48.40.126 W076.59.07.128 N042.49.46.622 W076.59.03.266
                          N043.08.36.437 W076.55.27.953 N043.08.43.010 W076.51.22.333
                          N043.06.36.742 W078.05.26.679 N043.06.03.163 W078.08.12.264
                          N043.07.55.386 W077.58.56.524 N043.07.24.308 W078.01.30.552
                          N043.09.15.993 W077.52.13.058 N043.08.43.398 W077.54.56.637
                          N043.10.18.670 W077.46.58.348 N043.10.02.444 W077.48.19.291
                          N043.10.18.670 W077.46.58.348 N043.09.48.440 W077.45.49.918
                          N043.08.45.644 W077.43.27.714 N043.08.15.054 W077.42.17.542
                          N043.38.17.092 W078.26.56.519 N043.38.17.161 W078.26.46.095
                          N043.38.19.376 W078.20.00.383 N043.38.19.436 W078.19.49.956
                          N043.38.20.894 W078.13.07.860 N043.38.20.945 W078.12.57.434
                          N043.38.22.372 W078.06.06.267 N043.38.22.412 W078.05.55.841
                          N043.38.23.723 W077.59.14.646 N043.38.23.750 W077.59.04.220
                          N043.38.24.027 W077.52.12.591 N043.38.24.044 W077.52.02.165
                          N043.38.24.223 W077.45.19.603 N043.38.24.231 W077.45.09.177
                          N043.38.24.341 W077.38.18.002 N043.38.24.338 W077.38.07.576
                          N043.38.22.667 W077.24.29.764 N043.38.22.645 W077.24.19.338
                          N043.38.21.555 W077.17.39.956 N043.38.21.521 W077.17.29.530
                          N043.38.19.317 W077.10.34.292 N043.38.19.270 W077.10.23.866
                          N043.38.14.957 W076.56.40.658 N043.38.14.893 W076.56.30.231
                          N043.38.11.859 W076.49.48.618 N043.38.11.782 W076.49.38.194
                          N043.38.23.712 W077.31.26.376 N043.38.23.699 W077.31.15.949
                          N043.38.17.374 W077.03.43.136 N043.38.17.318 W077.03.32.258
                          N043.18.19.472 W076.49.33.285 N043.18.11.637 W076.49.42.409
                          N043.18.11.637 W076.49.42.409 N043.17.43.531 W076.49.26.563
                          N043.17.43.531 W076.49.26.563 N043.17.18.397 W076.49.11.582
                          N043.17.18.397 W076.49.11.582 N043.17.00.932 W076.49.10.020
                          N043.17.00.932 W076.49.10.020 N043.16.38.863 W076.49.08.972
                          N043.16.38.863 W076.49.08.972 N043.16.15.809 W076.49.08.387
                          N043.16.15.809 W076.49.08.387 N043.15.53.511 W076.49.21.311
                          N043.15.53.511 W076.49.21.311 N043.15.54.287 W076.49.37.521
                          N043.15.54.287 W076.49.37.521 N043.16.09.846 W076.49.48.574
                          N043.16.09.846 W076.49.48.574 N043.16.45.379 W076.49.44.487
                          N043.16.45.379 W076.49.44.487 N043.17.14.416 W076.49.52.655
                          N043.17.14.416 W076.49.52.655 N043.17.17.571 W076.50.19.207
                          N043.17.17.571 W076.50.19.207 N043.17.32.785 W076.50.28.469
                          N043.17.32.785 W076.50.28.469 N043.17.43.918 W076.50.19.754
                          N043.17.43.918 W076.50.19.754 N043.17.44.089 W076.50.43.645
                          N043.17.44.089 W076.50.43.645 N043.17.53.960 W076.50.42.611
                          N043.17.53.960 W076.50.42.611 N043.18.06.396 W076.50.32.075
                          N043.18.06.396 W076.50.32.075 N043.18.22.025 W076.50.07.517
                          N043.18.19.472 W076.49.33.285 N043.18.32.386 W076.48.58.387
                          N043.18.32.386 W076.48.58.387 N043.18.34.402 W076.48.19.130
                          N043.18.34.402 W076.48.19.130 N043.18.44.958 W076.47.37.947
                          N043.18.44.958 W076.47.37.947 N043.19.07.275 W076.46.45.316
                          N043.19.07.275 W076.46.45.316 N043.19.16.532 W076.46.07.298
                          N043.19.16.532 W076.46.07.298 N043.19.35.438 W076.45.42.666
                          N043.19.35.438 W076.45.42.666 N043.19.44.780 W076.45.16.365
                          N043.19.44.780 W076.45.16.365 N043.20.10.856 W076.44.43.048
                          N043.20.10.856 W076.44.43.048 N043.20.32.281 W076.44.04.829
                          N043.20.32.281 W076.44.04.829 N043.20.34.442 W076.43.46.749
                          N043.20.34.442 W076.43.46.749 N043.20.43.656 W076.43.06.002
                          N043.20.43.656 W076.43.06.002 N043.20.37.689 W076.43.01.131
                          N043.20.37.689 W076.43.01.131 N043.20.18.702 W076.43.14.508
                          N043.20.18.702 W076.43.14.508 N043.19.46.092 W076.43.13.206
                          N043.19.46.092 W076.43.13.206 N043.19.40.232 W076.43.21.414
                          N043.19.40.232 W076.43.21.414 N043.19.23.453 W076.43.23.476
                          N043.19.23.453 W076.43.23.476 N043.19.02.014 W076.43.18.845
                          N043.19.02.014 W076.43.18.845 N043.19.01.930 W076.43.08.924
                          N043.19.01.930 W076.43.08.924 N043.19.13.692 W076.42.57.468
                          N043.19.13.692 W076.42.57.468 N043.19.31.760 W076.42.52.228
                          N043.19.31.760 W076.42.52.228 N043.19.41.239 W076.42.43.961
                          N043.19.41.239 W076.42.43.961 N043.19.49.388 W076.42.33.910
                          N043.19.49.388 W076.42.33.910 N043.20.07.539 W076.42.38.591
                          N043.20.07.539 W076.42.38.591 N043.20.25.304 W076.42.36.510
                          N043.20.25.304 W076.42.36.510 N043.20.34.727 W076.42.21.474
                          N043.20.34.727 W076.42.21.474 N043.21.09.215 W076.41.31.750
                          N043.21.09.215 W076.41.31.750 N043.21.35.170 W076.40.46.208
                          N043.21.35.170 W076.40.46.208 N043.22.22.513 W076.39.59.405
                          N043.22.22.513 W076.39.59.405 N043.23.07.661 W076.39.25.711
                          N043.23.07.661 W076.39.25.711 N043.24.04.843 W076.38.35.544
                          N043.24.04.843 W076.38.35.544 N043.24.49.864 W076.37.48.722
                          N043.24.49.864 W076.37.48.722 N043.25.28.708 W076.36.34.878
                          N043.25.28.708 W076.36.34.878 N043.25.35.433 W076.36.13.979
                          N043.19.12.598 W077.42.53.595 N043.19.05.680 W077.43.01.256
                          N043.19.05.680 W077.43.01.256 N043.19.00.728 W077.43.26.053
                          N043.19.00.728 W077.43.26.053 N043.18.55.444 W077.43.53.556
                          N043.18.55.444 W077.43.53.556 N043.18.49.511 W077.44.04.371
                          N043.18.49.511 W077.44.04.371 N043.18.39.619 W077.44.26.455
                          N043.18.39.619 W077.44.26.455 N043.18.38.620 W077.44.45.842
                          N043.18.38.620 W077.44.45.842 N043.18.33.341 W077.45.00.715
                          N043.18.33.341 W077.45.00.715 N043.18.27.404 W077.45.14.683
                          N043.18.27.404 W077.45.14.683 N043.18.27.386 W077.45.36.777
                          N043.18.27.386 W077.45.36.777 N043.18.26.377 W077.46.01.572
                          N043.18.26.377 W077.46.01.572 N043.18.19.139 W077.45.54.799
                          N043.18.19.139 W077.45.54.799 N043.18.20.481 W077.45.25.495
                          N043.18.20.481 W077.45.25.495 N043.18.17.192 W077.45.18.727
                          N043.18.17.192 W077.45.18.727 N043.18.11.259 W077.45.26.833
                          N043.18.11.259 W077.45.26.833 N043.18.06.328 W077.45.17.358
                          N043.18.06.328 W077.45.17.358 N043.18.08.319 W077.44.56.623
                          N043.18.08.319 W077.44.56.623 N043.18.12.277 W077.44.48.512
                          N043.18.12.277 W077.44.48.512 N043.18.25.446 W077.44.51.235
                          N043.18.25.446 W077.44.51.235 N043.18.28.418 W077.44.38.614
                          N043.18.28.418 W077.44.38.614 N043.18.32.386 W077.44.11.116
                          N043.18.32.386 W077.44.11.116 N043.18.39.643 W077.43.50.833
                          N043.18.39.643 W077.43.50.833 N043.18.45.580 W077.43.32.802
                          N043.18.45.580 W077.43.32.802 N043.18.46.573 W077.43.22.883
                          N043.18.46.573 W077.43.22.883 N043.18.41.306 W077.43.16.567
                          N043.19.46.604 W078.46.06.530 N043.19.50.773 W078.45.43.599
                          N043.19.50.773 W078.45.43.599 N043.20.00.864 W078.44.46.490
                          N043.20.00.864 W078.44.46.490 N043.20.15.948 W078.43.42.695
                          N043.20.15.948 W078.43.42.695 N043.20.21.408 W078.42.09.402
                          N043.20.21.408 W078.42.09.402 N043.20.25.367 W078.41.32.024
                          N043.20.25.367 W078.41.32.024 N043.20.40.246 W078.40.48.056
                          N043.20.40.246 W078.40.48.056 N043.20.51.140 W078.40.07.178
                          N043.20.51.140 W078.40.07.178 N043.21.06.053 W078.39.18.238
                          N043.21.06.053 W078.39.18.238 N043.21.18.255 W078.38.37.368
                          N043.21.18.255 W078.38.37.368 N043.21.32.384 W078.37.22.683
                          N043.21.32.384 W078.37.22.683 N043.21.41.460 W078.36.20.545
                          N043.21.41.460 W078.36.20.545 N043.21.48.971 W078.35.06.644
                          N043.21.48.971 W078.35.06.644 N043.22.03.977 W078.34.01.423
                          N043.22.03.977 W078.34.01.423 N043.22.12.779 W078.32.47.529
                          N043.22.12.779 W078.32.47.529 N043.22.18.229 W078.31.40.353
                          N043.22.18.229 W078.31.40.353 N043.22.20.044 W078.30.33.123
                          N043.22.20.044 W078.30.33.123 N043.22.21.354 W078.29.48.907
                          N043.22.21.354 W078.29.48.907 N043.22.28.808 W078.29.19.666
                          N043.22.28.808 W078.29.19.666 N043.22.17.096 W078.28.59.650
                          N043.22.17.096 W078.28.59.650 N043.22.07.720 W078.28.35.152
                          N043.22.07.720 W078.28.35.152 N043.22.10.222 W078.28.07.201
                          N043.22.10.222 W078.28.07.201 N043.22.16.589 W078.27.03.190
                          N043.22.16.589 W078.27.03.190 N043.22.19.227 W078.26.14.022
                          N043.22.19.227 W078.26.14.022 N043.22.26.970 W078.24.58.741
                          N043.22.26.970 W078.24.58.741 N043.22.34.647 W078.23.51.576
                          N043.22.34.647 W078.23.51.576 N043.22.36.292 W078.22.59.232
                          N043.22.36.292 W078.22.59.232 N043.22.25.842 W078.21.51.853
                          N043.22.25.842 W078.21.51.853 N043.22.19.053 W078.20.35.947
                          N043.22.19.053 W078.20.35.947 N043.22.15.809 W078.19.30.463
                          N043.22.15.809 W078.19.30.463 N043.22.20.945 W078.18.56.215
                          N043.22.20.945 W078.18.56.215 N043.22.18.579 W078.18.08.345
                          N043.22.18.579 W078.18.08.345 N043.22.18.856 W078.17.17.794
                          N043.22.18.856 W078.17.17.794 N043.22.10.796 W078.16.45.669
                          N043.22.10.796 W078.16.45.669 N043.22.17.066 W078.15.39.831
                          N043.22.17.066 W078.15.39.831 N043.22.05.533 W078.14.37.435
                          N043.22.05.533 W078.14.37.435 N043.22.02.056 W078.14.08.066
                          N043.22.02.056 W078.14.08.066 N043.22.10.921 W078.13.05.864
                          N043.22.10.921 W078.13.05.864 N043.22.14.701 W078.12.32.949
                          N043.22.14.701 W078.12.32.949 N043.22.11.407 W078.11.22.510
                          N043.22.11.407 W078.11.22.510 N043.22.10.273 W078.10.41.429
                          N043.22.10.273 W078.10.41.429 N043.22.23.582 W078.10.10.395
                          N043.22.23.582 W078.10.10.395 N043.22.27.410 W078.09.22.581
                          N043.22.27.410 W078.09.22.581 N043.22.27.692 W078.08.15.329
                          N043.22.27.692 W078.08.15.329 N043.22.29.375 W078.06.43.711
                          N043.22.29.375 W078.06.43.711 N043.22.27.052 W078.05.21.544
                          N043.22.27.052 W078.05.21.544 N043.22.14.087 W078.04.24.134
                          N043.22.14.087 W078.04.24.134 N043.22.14.249 W078.03.38.098
                          N043.22.14.249 W078.03.38.098 N043.22.10.831 W078.02.37.596
                          N043.22.10.831 W078.02.37.596 N043.21.59.140 W078.01.46.523
                          N043.21.59.140 W078.01.46.523 N043.22.04.234 W078.00.57.360
                          N043.22.04.234 W078.00.57.360 N043.22.03.019 W078.00.23.052
                          N043.22.03.019 W078.00.23.052 N043.21.52.266 W077.59.45.084
                          N043.21.52.266 W077.59.45.084 N043.21.55.998 W077.59.05.840
                          N043.21.55.998 W077.59.05.840 N043.22.05.614 W077.58.41.068
                          N043.22.05.614 W077.58.41.068 N043.21.53.821 W077.58.17.991
                          N043.21.53.821 W077.58.17.991 N043.21.57.538 W077.57.41.904
                          N043.21.57.538 W077.57.41.904 N043.21.46.781 W077.56.59.430
                          N043.21.46.781 W077.56.59.430 N043.21.27.822 W077.56.02.035
                          N043.21.27.822 W077.56.02.035 N043.21.25.633 W077.55.11.035
                          N043.21.25.633 W077.55.11.035 N043.21.23.058 W077.54.43.046
                          N043.21.23.058 W077.54.43.046 N043.21.07.698 W077.53.48.840
