PIT TRACON FLOW:          N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
- RWY 10                  N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N040.08.21.521 W080.47.59.934 N040.07.23.383 W080.48.30.379
                          N040.42.54.281 W080.24.40.117 N040.40.33.358 W080.23.20.177
                          N040.43.36.424 W080.25.04.030 N040.43.16.013 W080.24.52.291
                          N040.46.16.748 W080.26.34.543 N040.43.57.495 W080.25.15.773
                          N040.47.02.176 W080.27.00.672 N040.46.38.475 W080.26.46.738
                          N040.53.02.567 W080.30.25.279 N040.50.49.942 W080.29.09.736
                          N040.50.25.918 W080.28.56.205 N040.50.01.560 W080.28.42.680
                          N040.49.39.509 W080.28.30.030 N040.47.23.572 W080.27.12.870
                          N040.21.28.232 W080.12.13.431 N040.19.28.849 W080.09.44.580
                          N040.19.08.067 W080.09.19.212 N040.18.50.252 W080.08.56.857
                          N040.18.34.415 W080.08.37.086 N040.16.48.819 W080.06.26.482
                          N040.16.28.685 W080.06.01.577 N040.16.12.179 W080.05.41.829
                          N040.15.55.344 W080.05.20.365 N040.14.09.024 W080.03.09.074
                          N040.13.45.245 W080.02.39.483 N040.13.29.059 W080.02.19.334
                          N040.13.10.562 W080.01.56.613 N040.11.22.524 W079.59.43.359
                          N040.11.07.321 W079.59.24.516 N040.10.48.816 W079.59.01.821
                          N040.10.29.645 W079.58.37.845 N040.08.42.865 W079.56.26.479
                          N040.08.24.679 W079.56.04.239 N040.08.07.154 W079.55.42.858
                          N040.07.49.959 W079.55.21.909 N040.05.58.151 W079.53.03.876
                          N040.05.42.271 W079.52.44.656 N040.05.25.726 W079.52.24.157
                          N040.05.04.548 W079.51.58.111 N040.04.40.061 W079.51.28.228
                          N040.26.49.332 W080.04.32.098 N040.26.38.413 W080.04.05.390
                          N040.26.25.840 W080.03.35.237 N040.25.14.332 W080.00.44.728
                          N040.25.08.983 W080.00.09.827 N040.25.03.967 W079.59.37.514
                          N040.24.59.287 W079.59.09.511 N040.24.29.128 W079.55.56.956
                          N040.24.24.760 W079.55.28.530 N040.24.19.054 W079.54.52.783
                          N040.24.14.344 W079.54.21.342 N040.23.43.720 W079.51.08.862
                          N040.23.38.657 W079.50.35.278 N040.23.33.258 W079.50.01.697
                          N040.23.28.536 W079.49.31.991 N040.22.52.680 W079.45.43.860
                          N040.22.48.281 W079.45.17.178 N040.22.43.529 W079.44.46.192
                          N040.22.38.790 W079.44.18.223 N040.22.06.177 W079.40.53.846
                          N040.22.01.071 W079.40.21.582 N040.21.56.306 W079.39.51.900
                          N040.21.51.537 W079.39.22.217 N040.21.20.816 W079.36.08.240
                          N040.31.55.528 W080.02.20.399 N040.30.24.525 W080.04.52.219
                          N040.32.28.695 W080.01.25.004 N040.32.13.590 W080.01.50.540
                          N040.34.15.048 W079.58.27.472 N040.32.40.517 W080.01.05.528
                          N040.34.43.919 W079.57.38.948 N040.34.29.808 W079.58.01.913
                          N040.36.31.480 W079.54.38.181 N040.34.59.664 W079.57.12.514
                          N040.37.00.982 W079.53.49.167 N040.36.45.250 W079.54.15.627
                          N040.38.48.447 W079.50.48.629 N040.37.16.713 W079.53.22.703
                          N040.39.19.556 W079.49.56.087 N040.39.03.510 W079.50.23.012
                          N040.41.06.917 W079.46.55.776 N040.39.34.294 W079.49.32.197
                          N040.41.34.398 W079.46.09.260 N040.41.20.333 W079.46.33.170
                          N040.44.55.781 W079.40.29.850 N040.44.08.730 W079.41.49.529
                          N040.43.51.408 W079.42.18.263 N040.41.49.775 W079.45.43.605
                          N040.30.09.868 W080.17.31.532 N040.30.12.144 W080.18.55.274
                          N040.30.14.083 W080.20.08.225 N040.30.16.001 W080.21.29.811
                          N040.28.01.952 W080.11.21.747 N040.27.17.103 W080.10.25.721
                          N040.42.09.129 W080.33.25.168 N040.43.51.238 W080.28.38.457
                          N040.42.53.714 W080.32.42.494 N040.42.14.320 W080.31.41.717
                          N040.19.21.408 W080.52.48.027 N040.19.24.447 W080.51.31.855
                          N040.19.09.686 W080.58.08.205 N040.19.12.466 W080.56.49.453
                          N040.19.15.543 W080.55.34.146 N040.19.18.662 W080.54.08.937
                          N040.57.27.285 W080.39.26.871 N040.56.58.193 W080.38.18.044
                          N040.56.28.759 W080.37.08.797 N040.55.58.989 W080.35.57.391
                          N040.55.30.843 W080.34.50.356 N040.55.00.067 W080.33.37.678
                          N040.52.06.211 W080.30.11.740 N040.51.46.955 W080.30.08.766
                          N040.51.46.955 W080.30.08.766 N040.51.27.631 W080.30.06.681
                          N040.51.27.631 W080.30.06.681 N040.51.08.264 W080.30.05.492
                          N040.45.06.335 W080.34.40.560 N040.44.57.657 W080.35.10.161
                          N040.44.57.657 W080.35.10.161 N040.44.50.185 W080.35.40.324
                          N040.44.50.185 W080.35.40.324 N040.44.43.941 W080.36.10.965
                          N040.44.36.318 W080.39.57.649 N040.44.39.830 W080.40.24.592
                          N040.44.39.830 W080.40.24.592 N040.44.44.279 W080.40.51.296
                          N040.44.44.279 W080.40.51.296 N040.44.49.649 W080.41.17.707
                          N040.55.48.022 W080.32.15.053 N040.55.29.692 W080.31.58.209
                          N040.55.29.692 W080.31.58.209 N040.55.10.989 W080.31.42.094
                          N040.55.10.989 W080.31.42.094 N040.54.51.930 W080.31.26.724
                          N040.46.25.753 W080.46.18.610 N040.45.59.725 W080.45.01.708
                          N041.02.06.443 W080.30.53.372 N041.02.13.951 W080.31.25.597
                          N040.26.34.884 W080.09.33.163 N040.26.07.500 W080.08.58.707
                          N040.47.53.286 W080.30.44.292 N040.47.41.693 W080.30.49.691
                          N040.47.41.693 W080.30.49.691 N040.47.30.194 W080.30.55.429
                          N040.47.30.194 W080.30.55.429 N040.47.18.794 W080.31.01.499
                          N040.47.18.794 W080.31.01.499 N040.47.18.794 W080.31.01.499
                          N040.14.30.512 W079.40.01.788 N040.14.21.546 W079.40.29.241
                          N040.14.21.546 W079.40.29.241 N040.14.11.730 W079.40.56.193
                          N040.14.11.730 W079.40.56.193 N040.14.01.075 W079.41.22.598
                          N040.14.01.075 W079.41.22.598 N040.13.43.830 W079.41.41.651
                          N040.13.43.830 W079.41.41.651 N040.13.25.896 W079.41.59.592
                          N040.13.25.896 W079.41.59.592 N040.13.07.322 W079.42.16.379
                          N040.13.07.322 W079.42.16.379 N040.13.07.322 W079.42.16.379
                          N040.11.08.343 W079.43.29.518 N040.10.49.603 W079.43.36.503
                          N040.10.49.603 W079.43.36.503 N040.10.30.655 W079.43.42.460
                          N040.10.30.655 W079.43.42.460 N040.10.11.536 W079.43.47.386
                          N040.10.11.536 W079.43.47.386 N040.10.11.536 W079.43.47.386
                          N040.27.20.104 W080.11.17.911 N040.27.57.303 W080.10.27.825
                          N040.28.38.763 W080.09.24.342 N040.29.30.824 W080.09.21.240
                          N040.06.01.556 W080.31.59.377 N040.05.35.520 W080.32.01.847
                          N040.08.51.619 W080.31.44.169 N040.06.25.947 W080.31.57.329
                          N040.11.33.772 W080.31.29.768 N040.10.04.129 W080.31.37.581
                          N040.09.38.420 W080.31.39.630 N040.09.15.350 W080.31.42.115
                          N040.33.18.445 W080.25.57.366 N040.32.58.414 W080.26.08.067
                          N040.32.58.414 W080.26.08.067 N040.32.37.981 W080.26.17.364
                          N040.32.37.981 W080.26.17.364 N040.32.17.200 W080.26.25.232
                          N040.27.23.897 W080.26.41.031 N040.27.03.614 W080.26.35.141
                          N040.27.03.614 W080.26.35.141 N040.26.43.774 W080.26.27.069
                          N040.26.43.774 W080.26.27.069 N040.26.24.514 W080.26.16.870
                          N040.33.24.851 W080.31.27.900 N040.33.08.843 W080.31.34.456
                          N040.33.08.843 W080.31.34.456 N040.32.52.587 W080.31.39.855
                          N040.32.52.587 W080.31.39.855 N040.32.36.132 W080.31.44.083
                          N040.27.36.193 W080.32.01.102 N040.27.15.855 W080.31.56.615
                          N040.27.15.855 W080.31.56.615 N040.26.55.648 W080.31.51.211
                          N040.26.55.648 W080.31.51.211 N040.26.35.596 W080.31.44.898
                          N040.33.24.864 W080.31.27.965 N040.33.11.161 W080.30.26.139
                          N040.32.33.920 W080.27.38.423 N040.32.17.234 W080.26.25.387
                          N040.26.35.591 W080.31.44.921 N040.26.45.956 W080.30.38.112
                          N040.27.13.305 W080.27.48.264 N040.27.23.960 W080.26.41.005
                          N040.35.58.846 W080.38.44.737 N040.35.41.278 W080.38.53.541
                          N040.35.41.278 W080.38.53.541 N040.35.23.411 W080.39.01.231
                          N040.35.23.411 W080.39.01.231 N040.35.05.281 W080.39.07.790
                          N040.35.05.281 W080.39.07.790 N040.35.05.281 W080.39.07.790
                          N040.25.15.986 W080.39.31.251 N040.24.58.881 W080.39.26.722
                          N040.24.58.881 W080.39.26.722 N040.24.41.914 W080.39.21.378
                          N040.24.41.914 W080.39.21.378 N040.24.25.109 W080.39.15.225
                          N040.35.19.661 W080.40.12.243 N040.35.05.387 W080.39.07.330
                          N040.23.07.631 W080.52.14.331 N040.23.20.880 W080.50.57.743
                          N040.25.02.364 W080.40.53.350 N040.25.16.164 W080.39.31.089
                          N040.32.23.917 W079.58.05.053 N040.32.04.414 W079.57.58.521
                          N040.32.04.414 W079.57.58.521 N040.31.44.799 W079.57.52.594
                          N040.31.44.799 W079.57.52.594 N040.31.25.083 W079.57.47.279
                          N040.26.48.505 W079.58.01.944 N040.26.30.566 W079.58.06.399
                          N040.26.30.566 W079.58.06.399 N040.26.12.871 W079.58.12.289
                          N040.26.12.871 W079.58.12.289 N040.25.55.486 W079.58.19.590
                          N040.32.42.443 W080.01.30.233 N040.32.26.116 W080.01.24.406
                          N040.32.26.116 W080.01.24.406 N040.32.09.665 W080.01.19.224
                          N040.32.09.665 W080.01.19.224 N040.31.53.103 W080.01.14.690
                          N040.26.37.774 W080.01.24.115 N040.26.14.362 W080.01.33.918
                          N040.26.14.362 W080.01.33.918 N040.25.51.552 W080.01.45.919
                          N040.25.51.552 W080.01.45.919 N040.25.29.471 W080.02.00.051
                          N040.23.49.872 W080.00.10.483 N040.23.36.242 W080.00.17.907
                          N040.23.36.242 W080.00.17.907 N040.23.23.162 W080.00.26.875
                          N040.23.23.162 W080.00.26.875 N040.23.10.738 W080.00.37.312
                          N040.23.10.738 W080.00.37.312 N040.22.59.064 W080.00.49.142
                          N040.22.59.064 W080.00.49.142 N040.22.59.064 W080.00.49.142
                          N040.19.56.932 W080.04.33.606 N040.19.44.729 W080.04.54.440
                          N040.19.44.729 W080.04.54.440 N040.19.33.503 W080.05.16.189
                          N040.19.33.503 W080.05.16.189 N040.19.23.292 W080.05.38.775
                          N040.31.53.090 W080.01.14.769 N040.32.02.845 W080.00.14.706
                          N040.32.11.617 W079.59.21.552 N040.32.23.951 W079.58.05.056
                          N040.26.37.781 W080.01.24.095 N040.26.21.147 W080.00.11.704
                          N040.26.08.501 W079.59.16.556 N040.25.55.511 W079.58.19.692
                          N040.24.17.732 W080.01.18.558 N040.23.49.906 W080.00.10.564
                          N040.20.06.836 W080.06.14.831 N040.19.23.290 W080.05.38.772
                          N040.58.30.359 W080.03.48.574 N040.58.35.847 W080.04.16.412
                          N040.58.35.847 W080.04.16.412 N040.58.41.073 W080.04.44.336
                          N040.58.41.073 W080.04.44.336 N040.58.46.043 W080.05.12.343
                          N040.58.46.043 W080.05.12.343 N040.58.46.043 W080.05.12.343
                          N040.57.15.198 W079.58.55.539 N040.57.22.558 W079.59.19.389
                          N040.57.22.558 W079.59.19.389 N040.57.29.719 W079.59.43.346
                          N040.57.29.719 W079.59.43.346 N040.57.36.683 W080.00.07.405
                          N040.55.25.827 W079.54.05.156 N040.55.35.923 W079.54.28.180
                          N040.55.35.923 W079.54.28.180 N040.55.45.824 W079.54.51.351
                          N040.55.45.824 W079.54.51.351 N040.55.55.524 W079.55.14.670
                          N040.54.26.798 W079.52.01.320 N040.54.37.956 W079.52.23.454
                          N040.54.37.956 W079.52.23.454 N040.54.48.922 W079.52.45.756
                          N040.54.48.922 W079.52.45.756 N040.54.59.696 W079.53.08.219
                          N040.53.57.799 W079.51.06.207 N040.54.01.771 W079.51.13.558
                          N040.54.01.771 W079.51.13.558 N040.54.05.718 W079.51.20.930
                          N040.54.05.718 W079.51.20.930 N040.54.09.647 W079.51.28.322
                          N040.52.10.750 W079.48.07.781 N040.52.41.275 W079.48.55.131
                          N040.52.41.275 W079.48.55.131 N040.53.10.843 W079.49.43.533
                          N040.53.10.843 W079.49.43.533 N040.53.39.425 W079.50.32.953
                          N040.59.17.181 W080.09.07.247 N040.59.19.388 W080.09.31.980
                          N040.59.19.388 W080.09.31.980 N040.59.21.396 W080.09.56.742
                          N040.59.21.396 W080.09.56.742 N040.59.23.203 W080.10.21.532
                          N040.49.32.753 W079.44.37.521 N040.50.09.070 W079.45.21.312
                          N040.50.09.070 W079.45.21.312 N040.50.44.456 W079.46.06.409
                          N040.50.44.456 W079.46.06.409 N040.51.18.885 W079.46.52.782
                          N040.48.56.769 W079.43.56.441 N040.49.03.878 W079.44.04.384
                          N040.49.03.878 W079.44.04.384 N040.49.10.960 W079.44.12.378
                          N040.49.10.960 W079.44.12.378 N040.49.18.007 W079.44.20.419
                          N040.46.40.896 W079.41.39.604 N040.47.18.960 W079.42.15.237
                          N040.47.18.960 W079.42.15.237 N040.47.56.304 W079.42.52.173
                          N040.47.56.304 W079.42.52.173 N040.48.32.901 W079.43.30.385
                          N040.48.32.901 W079.43.30.385 N040.48.32.901 W079.43.30.385
                          N040.46.01.315 W079.41.04.589 N040.46.08.576 W079.41.10.860
                          N040.46.08.576 W079.41.10.860 N040.46.15.810 W079.41.17.176
                          N040.46.15.810 W079.41.17.176 N040.46.23.021 W079.41.23.539
                          N040.43.58.173 W079.39.27.822 N040.44.30.347 W079.39.51.416
                          N040.44.30.347 W079.39.51.416 N040.45.02.141 W079.40.15.880
                          N040.45.02.141 W079.40.15.880 N040.45.33.548 W079.40.41.204
                          N040.40.24.360 W079.37.18.029 N040.40.42.524 W079.37.27.347
                          N040.40.42.524 W079.37.27.347 N040.41.00.608 W079.37.36.927
                          N040.41.00.608 W079.37.36.927 N040.41.18.612 W079.37.46.765
                          N040.36.35.942 W079.35.45.193 N040.36.54.243 W079.35.51.038
                          N040.36.54.243 W079.35.51.038 N040.37.12.497 W079.35.57.134
                          N040.37.12.497 W079.35.57.134 N040.37.30.701 W079.36.03.484
                          N040.35.30.457 W079.35.26.449 N040.35.48.319 W079.35.31.228
                          N040.35.48.319 W079.35.31.228 N040.36.06.142 W079.35.36.245
                          N040.36.06.142 W079.35.36.245 N040.36.23.927 W079.35.41.502
                          N040.32.34.696 W079.34.52.413 N040.32.56.432 W079.34.55.363
                          N040.32.56.432 W079.34.55.363 N040.33.18.142 W079.34.58.661
                          N040.33.18.142 W079.34.58.661 N040.33.39.819 W079.35.02.306
                          N040.28.33.717 W079.34.42.953 N040.28.55.394 W079.34.42.067
                          N040.28.55.394 W079.34.42.067 N040.29.17.079 W079.34.41.526
                          N040.29.17.079 W079.34.41.526 N040.29.38.764 W079.34.41.325
                          N040.24.39.686 W079.35.14.512 N040.24.59.671 W079.35.10.226
                          N040.24.59.671 W079.35.10.226 N040.25.19.694 W079.35.06.233
                          N040.25.19.694 W079.35.06.233 N040.25.39.749 W079.35.02.536
                          N040.17.04.516 W079.38.19.074 N040.17.23.324 W079.38.07.877
                          N040.17.23.324 W079.38.07.877 N040.17.42.227 W079.37.56.962
                          N040.17.42.227 W079.37.56.962 N040.18.01.226 W079.37.46.329
                          N040.13.36.500 W079.40.47.136 N040.13.53.182 W079.40.33.503
                          N040.13.53.182 W079.40.33.503 N040.14.09.978 W079.40.20.111
                          N040.14.09.978 W079.40.20.111 N040.14.26.882 W079.40.06.956
                          N040.14.26.882 W079.40.06.956 N040.14.26.882 W079.40.06.956
                          N040.10.25.247 W079.43.49.234 N040.10.38.114 W079.43.35.342
                          N040.10.38.114 W079.43.35.342 N040.10.51.079 W079.43.21.607
                          N040.10.51.079 W079.43.21.607 N040.11.04.141 W079.43.08.027
                          N040.07.31.310 W079.47.25.939 N040.07.45.191 W079.47.06.401
                          N040.07.45.191 W079.47.06.401 N040.07.59.243 W079.46.47.072
                          N040.07.59.243 W079.46.47.072 N040.08.13.461 W079.46.27.947
                          N040.08.13.461 W079.46.27.947 N040.08.13.461 W079.46.27.947
                          N040.04.58.901 W079.51.34.633 N040.05.11.077 W079.51.12.039
                          N040.05.11.077 W079.51.12.039 N040.05.23.454 W079.50.49.632
                          N040.05.23.454 W079.50.49.632 N040.05.36.034 W079.50.27.415
                          N040.02.57.233 W079.55.58.495 N040.03.06.912 W079.55.34.352
                          N040.03.06.912 W079.55.34.352 N040.03.16.808 W079.55.10.359
                          N040.03.16.808 W079.55.10.359 N040.03.26.914 W079.54.46.514
                          N040.03.26.914 W079.54.46.514 N040.03.26.914 W079.54.46.514
                          N040.01.23.162 W080.00.40.213 N040.01.30.356 W080.00.14.607
                          N040.01.30.356 W080.00.14.607 N040.01.37.776 W079.59.49.111
                          N040.01.37.776 W079.59.49.111 N040.01.45.422 W079.59.23.729
                          N040.01.45.422 W079.59.23.729 N040.01.45.422 W079.59.23.729
                          N040.01.50.584 W080.28.43.330 N040.01.43.103 W080.28.19.055
                          N040.01.43.103 W080.28.19.055 N040.01.35.828 W080.27.54.677
                          N040.01.35.828 W080.27.54.677 N040.01.28.762 W080.27.30.195
                          N040.01.28.762 W080.27.30.195 N040.01.28.762 W080.27.30.195
                          N040.01.04.676 W080.25.59.694 N040.00.58.249 W080.25.33.328
                          N040.00.58.249 W080.25.33.328 N040.00.52.061 W080.25.06.868
                          N040.00.52.061 W080.25.06.868 N040.00.46.112 W080.24.40.315
                          N040.00.05.993 W080.20.56.230 N040.00.02.064 W080.20.27.109
                          N040.00.02.064 W080.20.27.109 N039.59.58.420 W080.19.57.924
                          N039.59.58.420 W080.19.57.924 N039.59.55.057 W080.19.28.683
                          N039.59.39.020 W080.15.51.896 N039.59.38.091 W080.15.24.257
                          N039.59.38.091 W080.15.24.257 N039.59.37.412 W080.14.56.605
                          N039.59.37.412 W080.14.56.605 N039.59.36.982 W080.14.28.945
                          N040.00.18.094 W080.05.35.304 N040.00.22.347 W080.05.10.511
                          N040.00.22.347 W080.05.10.511 N040.00.26.805 W080.04.45.781
                          N040.00.26.805 W080.04.45.781 N040.00.31.467 W080.04.21.113
                          N040.12.18.351 W080.45.54.177 N040.11.03.375 W080.46.34.006
                          N040.16.24.854 W080.49.06.388 N040.16.06.033 W080.48.54.104
                          N040.16.06.033 W080.48.54.104 N040.15.47.323 W080.48.41.535
                          N040.15.47.323 W080.48.41.535 N040.15.28.728 W080.48.28.683
                          N040.13.00.746 W080.46.32.765 N040.12.46.494 W080.46.20.230
                          N040.12.46.494 W080.46.20.230 N040.12.32.336 W080.46.07.520
                          N040.12.32.336 W080.46.07.520 N040.12.18.271 W080.45.54.635
                          N040.12.18.271 W080.45.54.635 N040.12.18.271 W080.45.54.635
                          N040.20.05.694 W080.51.05.439 N040.19.43.481 W080.50.55.444
                          N040.19.43.481 W080.50.55.444 N040.19.21.369 W080.50.45.072
                          N040.19.21.369 W080.50.45.072 N040.18.59.364 W080.50.34.327
                          N040.23.41.670 W080.52.21.434 N040.23.19.871 W080.52.15.449
                          N040.23.19.871 W080.52.15.449 N040.22.58.135 W080.52.09.110
                          N040.22.58.135 W080.52.09.110 N040.22.36.459 W080.52.02.423
                          N040.22.36.459 W080.52.02.423 N040.22.36.459 W080.52.02.423
                          N040.27.29.936 W080.53.02.512 N040.27.08.302 W080.53.00.280
                          N040.27.08.302 W080.53.00.280 N040.26.46.690 W080.52.57.709
                          N040.26.46.690 W080.52.57.709 N040.26.25.103 W080.52.54.795
                          N040.31.27.986 W080.53.04.472 N040.31.07.536 W080.53.05.927
                          N040.31.07.536 W080.53.05.927 N040.30.47.076 W080.53.07.079
                          N040.30.47.076 W080.53.07.079 N040.30.26.605 W080.53.07.924
                          N040.35.50.632 W080.52.18.086 N040.35.29.966 W080.52.23.636
                          N040.35.29.966 W080.52.23.636 N040.35.09.253 W080.52.28.865
                          N040.35.09.253 W080.52.28.865 N040.34.48.497 W080.52.33.773
                          N040.34.48.497 W080.52.33.773 N040.34.48.497 W080.52.33.773
                          N040.37.49.295 W080.51.27.381 N040.37.35.448 W080.50.23.687
                          N040.37.50.476 W080.51.39.239 N040.37.31.736 W080.51.46.076
                          N040.37.31.736 W080.51.46.076 N040.37.12.941 W080.51.52.648
                          N040.37.12.941 W080.51.52.648 N040.36.54.093 W080.51.58.950
                          N040.36.54.093 W080.51.58.950 N040.36.54.093 W080.51.58.950
                          N040.39.45.666 W080.50.50.738 N040.39.25.949 W080.50.59.844
                          N040.39.25.949 W080.50.59.844 N040.39.06.152 W080.51.08.650
                          N040.39.06.152 W080.51.08.650 N040.38.46.275 W080.51.17.151
                          N040.43.26.360 W080.48.44.257 N040.43.07.284 W080.48.57.077
                          N040.43.07.284 W080.48.57.077 N040.42.48.092 W080.49.09.592
                          N040.42.48.092 W080.49.09.592 N040.42.28.790 W080.49.21.805
                          N040.42.28.790 W080.49.21.805 N040.42.28.790 W080.49.21.805
                          N040.46.49.629 W080.46.02.207 N040.46.33.207 W080.46.17.170
                          N040.46.33.207 W080.46.17.170 N040.46.16.662 W080.46.31.892
                          N040.46.16.662 W080.46.31.892 N040.45.59.994 W080.46.46.369
                          N040.49.58.743 W080.42.41.159 N040.49.43.476 W080.42.59.571
                          N040.49.43.476 W080.42.59.571 N040.49.28.052 W080.43.17.748
                          N040.49.28.052 W080.43.17.748 N040.49.12.470 W080.43.35.687
                          N040.55.04.546 W080.34.31.192 N040.54.53.243 W080.34.55.010
                          N040.54.53.243 W080.34.55.010 N040.54.41.726 W080.35.18.651
                          N040.54.41.726 W080.35.18.651 N040.54.29.994 W080.35.42.106
                          N040.54.29.994 W080.35.42.106 N040.54.29.994 W080.35.42.106
                          N040.56.57.085 W080.29.49.871 N040.56.48.134 W080.30.16.028
                          N040.56.48.134 W080.30.16.028 N040.56.38.946 W080.30.42.042
                          N040.56.38.946 W080.30.42.042 N040.56.29.514 W080.31.07.901
                          N040.58.19.302 W080.24.53.394 N040.58.13.289 W080.25.20.019
                          N040.58.13.289 W080.25.20.019 N040.58.07.041 W080.25.46.550
                          N040.58.07.041 W080.25.46.550 N040.58.00.555 W080.26.12.984
                          N040.59.30.406 W080.14.23.954 N040.59.30.006 W080.14.52.523
                          N040.59.30.006 W080.14.52.523 N040.59.29.345 W080.15.21.082
                          N040.59.29.345 W080.15.21.082 N040.59.28.420 W080.15.49.628
                          N040.59.28.420 W080.15.49.628 N040.59.28.420 W080.15.49.628
                          N040.59.10.443 W080.19.47.210 N040.59.07.489 W080.20.12.037
                          N040.59.07.489 W080.20.12.037 N040.59.04.339 W080.20.36.820
                          N040.59.04.339 W080.20.36.820 N040.59.00.986 W080.21.01.558
                          N040.27.09.504 W080.05.19.056 N040.27.00.246 W080.04.57.947
                          N040.54.59.895 W079.53.08.088 N040.53.29.295 W079.54.54.968
                          N040.53.09.267 W079.55.18.948 N040.52.48.911 W079.55.42.928
                          N040.52.31.506 W079.56.03.415 N040.50.46.737 W079.58.07.147
                          N040.50.46.737 W079.58.07.147 N040.48.46.343 W079.59.25.731
                          N040.48.26.603 W079.59.38.386 N040.48.03.575 W079.59.53.221
                          N040.47.39.887 W080.00.08.921 N040.45.26.963 W080.01.35.229
                          N040.45.06.236 W080.01.49.165 N040.44.41.226 W080.02.04.849
                          N040.44.19.508 W080.02.19.216 N040.42.09.517 W080.03.43.641
                          N040.41.46.148 W080.03.58.862 N040.41.24.429 W080.04.12.777
                          N040.41.01.717 W080.04.27.557 N040.38.46.764 W080.05.55.316
                          N040.38.27.670 W080.06.07.474 N040.38.05.943 W080.06.21.366
                          N040.37.44.215 W080.06.35.686 N040.36.51.213 W080.07.09.965
                          N040.05.08.494 W080.32.04.313 N040.03.06.550 W080.32.15.403
                          N040.37.58.446 W080.44.44.951 N040.37.32.333 W080.44.56.744
                          N040.37.32.333 W080.44.56.744 N040.37.06.058 W080.45.07.902
                          N040.37.06.058 W080.45.07.902 N040.36.39.632 W080.45.18.419
                          N040.36.39.632 W080.45.18.419 N040.36.39.632 W080.45.18.419
                          N040.36.13.928 W080.45.27.983 N040.36.06.078 W080.45.30.774
                          N040.36.06.078 W080.45.30.774 N040.35.58.218 W080.45.33.510
                          N040.35.58.218 W080.45.33.510 N040.35.50.346 W080.45.36.189
                          N040.35.50.346 W080.45.36.189 N040.35.50.346 W080.45.36.189
                          N040.35.28.769 W080.45.43.226 N040.34.41.341 W080.45.57.135
                          N040.34.41.341 W080.45.57.135 N040.33.53.594 W080.46.09.017
                          N040.33.53.594 W080.46.09.017 N040.33.05.577 W080.46.18.858
                          N040.32.39.895 W080.46.23.267 N040.32.32.070 W080.46.24.492
                          N040.32.32.070 W080.46.24.492 N040.32.24.241 W080.46.25.663
                          N040.32.24.241 W080.46.25.663 N040.32.16.410 W080.46.26.781
                          N040.31.49.778 W080.46.30.170 N040.31.04.989 W080.46.34.458
                          N040.31.04.989 W080.46.34.458 N040.30.20.123 W080.46.36.983
